name,Alabama,value,"5,024,281",,,,
name,Alaska,value,"733,393",,,,
name,Arizona,value,"7,151,504",,,,
name,Arkansas,value,"3,011,526",,,,
name,California,value,"39,538,225",,,,
name,Colorado,value,"5,773,716",,,,
name,Connecticut,value,"3,605,946",,,,
name,Delaware,value,"989,950",,,,
name,District of Columbia,value,"689,547",,,,
name,Florida,value,"21,538,189",,,,
name,Georgia,value,"10,711,910",,,,
name,Hawaii,value,"1,455,273",,,,
name,Idaho,value,"1,839,108",,,,
name,Illinois,value,"12,812,510",,,,
name,Indiana,value,"6,785,530",,,,
name,Iowa,value,"3,190,371",,,,
name,Kansas,value,"2,937,882",,,,
name,Kentucky,value,"4,505,838",,,,
name,Louisiana,value,"4,657,759",,,,
name,Maine,value,"1,362,361",,,,
name,Maryland,value,"6,177,226",,,,
name,Massachusetts,value,"7,029,919",,,,
name,Michigan,value,"10,077,333",,,,
name,Minnesota,value,"5,706,496",,,,
name,Mississippi,value,"2,961,281",,,,
name,Missouri,value,"6,154,915",,,,
name,Montana,value,"1,084,227",,,,
name,Nebraska,value,"1,961,506",,,,
name,Nevada,value,"3,104,616",,,,
name,New Hampshire,value,"1,377,531",,,,
name,New Jersey,value,"9,288,996",,,,
name,New Mexico,value,"2,117,524",,,,
name,New York,value,"20,201,251",,,,
name,North Carolina,value,"10,439,390",,,,
name,North Dakota,value,"779,096",,,,
name,Ohio,value,"11,799,450",,,,
name,Oklahoma,value,"3,959,355",,,,
name,Oregon,value,"4,237,258",,,,
name,Pennsylvania,value,"13,002,702",,,,
name,Puerto Rico,value,"3,285,876",,,,
name,Rhode Island,value,"1,097,381",,,,
name,South Carolina,value,"5,118,427",,,,
name,South Dakota,value,"886,669",,,,
name,Tennessee,value,"6,910,842",,,,
name,Texas,value,"29,145,507",,,,
name,Utah,value,"3,271,618",,,,
name,Vermont,value,"643,079",,,,
name,Virginia,value,"8,631,395",,,,
name,Washington,value,"7,705,283",,,,
name,West Virginia,value,"1,793,718",,,,
name,Wisconsin,value,"5,893,720",,,,
name,Wyoming,value,"576,853",,,,
